상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
블루포트건국대학교점,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로 120,127.0746953,37.53905594
컴포즈커피광진능동로점,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로 104,127.0716008,37.55225908
무지개,음식,주점,생맥주 전문,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 면목로 91,127.0788505,37.56184897
일리카페롯데건대스타시티점,음식,비알코올 ,카페,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 능동로 92,127.0711996,37.53899245
제주몰빵,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로 114,127.0728592,37.55299882
무한양꼬치,음식,중식,중국집,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로29길 41,127.0688788,37.54272255
마우,음식,기타 간이,빵/도넛,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로13길 77,127.0687937,37.54501055
빽다방강변역점,음식,비알코올 ,카페,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 강변역로4길 10,127.0933882,37.53534442
줄벼락,음식,한식,돼지고기 구이/찜,서울특별시,광진구,군자동,군자동,서울특별시 광진구 광나루로 361,127.0697245,37.54842386
민동경수산,음식,한식,횟집,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로13길 39,127.0697461,37.54395482
민물장어,음식,한식,해산물 구이/찜,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 긴고랑로 93,127.0860321,37.56048112
온가솥밥,음식,한식,백반/한정식,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 면목로 172,127.0828324,37.56850268
원갈비,음식,한식,돼지고기 구이/찜,서울특별시,광진구,화양동,화양동,서울특별시 광진구 광나루로 410,127.0750326,37.54655533
호아다오,음식,동남아시아,베트남식 전문,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로13길 11,127.0710297,37.54264939
예설스페이스,음식,비알코올 ,카페,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로73길 25,127.103374,37.54617924
설빙건대지점,음식,기타 간이,아이스크림/빙수,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로 225,127.06846,37.54090813
램니쿠야,음식,한식,돼지고기 구이/찜,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로 395,127.0863686,37.53755197
