gu_name,cluster,order,latitude,longitude
광진구,2,21,37.5315056,127.0807601
광진구,2,22,37.53187711568978,127.08393469358428
광진구,2,23,37.5384193,127.0824491
광진구,2,24,37.544932,127.082053
광진구,2,25,37.5368431,127.0839428
광진구,2,26,37.5439801,127.0653291
광진구,2,27,37.54306812290742,127.06462502188228
광진구,2,28,37.5423335,127.0658192
광진구,2,29,37.536782584412215,127.08303263716716
광진구,2,30,37.5368431,127.0839428
광진구,2,31,37.5324649,127.0790709
광진구,2,32,37.5425408,127.0737253
광진구,2,33,37.54466405709691,127.07267588036356
광진구,2,34,37.5425408,127.0737253
광진구,2,35,37.53723083728109,127.06957383672392
광진구,2,36,37.54840728325607,127.06795327945233
광진구,2,37,37.54741330104295,127.07334377951858
광진구,2,38,37.5465591,127.0750124
